iter	MultiClass
0	0.974949001
1	0.8714206931
2	0.7929894302
3	0.7270628423
4	0.6577505207
5	0.6123797224
6	0.5621665179
7	0.5269959595
8	0.4984432359
9	0.4732566811
10	0.4449683774
11	0.4188856726
12	0.3930778875
13	0.3737051848
14	0.3545011953
15	0.3341812876
16	0.3188019497
17	0.3017883462
18	0.2874057016
19	0.275271505
20	0.2681598671
21	0.2578056069
22	0.2468600601
23	0.2368194178
24	0.2289740211
25	0.218873068
26	0.2127239609
27	0.2043861266
28	0.1987555057
29	0.1940856222
30	0.1889842433
31	0.1827010369
32	0.1786907408
33	0.1735510092
34	0.1681329188
35	0.1625953653
36	0.1578929099
37	0.1538043998
38	0.148774761
39	0.1448282895
40	0.1416655524
41	0.138132476
42	0.1338085941
43	0.1311192917
44	0.1280376627
45	0.1259053284
46	0.1232856936
47	0.1214508914
48	0.119192677
49	0.1167655553
50	0.114012174
51	0.1122207599
52	0.1105085883
53	0.1077311755
54	0.1060247909
55	0.1036923139
56	0.1007137953
57	0.09811104177
58	0.09561498509
59	0.0934816919
60	0.09248251602
61	0.09115282483
62	0.08919874218
63	0.08821028552
64	0.08618181252
65	0.08451052229
66	0.08276667446
67	0.0814421329
68	0.08013483405
69	0.07856807493
70	0.0772430102
71	0.07579105803
72	0.07457869138
73	0.07292795349
74	0.07184531638
75	0.07061901438
76	0.06964325684
77	0.06857329317
78	0.0676052159
79	0.06675678068
80	0.0659036653
81	0.06453476842
82	0.06362456787
83	0.0622780942
84	0.06140998027
85	0.06072619973
86	0.06008891739
87	0.05929605059
88	0.05844877383
89	0.05777279231
90	0.05685044066
91	0.05616280654
92	0.05531798836
93	0.05468321859
94	0.05409201731
95	0.05346451709
96	0.05250417166
97	0.05194912418
98	0.05148533829
99	0.0506791781
